文化元素,文化类别,起源朝代,核心描述,文化内涵与传承,补充说明
穿斗式木构架,建筑结构文化,汉,穿斗式木构架是中国古代木结构建筑的典型形式，其特点是沿房屋进深方向密集立柱，每柱直接承托檩条形成屋面荷载传递体系，并使用穿枋横向贯穿柱身构成单榀构架，相邻构架间通过斗枋纵向连接形成整体空间结构,穿斗式木构架是中国古代木结构建筑的典型形式，其特点是沿房屋进深方向密集立柱，每柱直接承托檩条形成屋面荷载传递体系，并使用穿枋横向贯穿柱身构成单榀构架，相邻构架间通过斗枋纵向连接形成整体空间结构；该结构至迟在汉代已现雏形，宋元时期技术成熟，主要分布于中国南方长江中下游及西南地区,
里坊制,空间规划文化,唐,里坊制是中国古代主要的城市和乡村规划的基本单位与居住管理制度的复合体,里坊制是在西周时期闾里制度的基础上，演变而成的住区形制,
重檐,建筑结构文化,清,重檐是中国传统建筑中具有两层或多层屋檐的屋顶形式，通过在下层檐叠加檐部形成层级结构，既扩大屋顶与屋身的体积比例，又增添建筑高度与层次韵律,故宫角楼则创新融合三重檐四角攒尖顶与重檐歇山顶结构，展现重檐体系的营造智慧,
歇山顶,建筑形制文化,宋,歇山顶，即歇山式屋顶，宋朝称九脊殿、曹殿或厦两头造，清朝改今称，又名九脊顶,歇山顶，即歇山式屋顶，宋朝称九脊殿、曹殿或厦两头造，清朝改今称，又名九脊顶；为古代汉族建筑屋顶样式之一，在规格上仅次于庑殿顶,
四合院文化,空间规划文化,元,四合院文化是传统民居形态，四合院又称四合房，由正房、倒座、东厢房及西厢房四面围合成中心庭院，具有规整的平面形制与独立房体布局特点,北京四合院通过四向房屋的方位象征与空间组合体现文化内涵，相较于南方天井式建筑的四合院楼房及转角相连形式，北京四合院以开阔庭院与独立房屋布局为特色；其设计体现了天人合一、人与自然和谐相处的哲学思想,
照壁,建筑形制文化,明,照壁是中国古代汉族传统建筑特有的部分,另一说法为照壁是中国受风水意识影响而产生的一种独具特色的建筑形式，称“影壁”或“屏风墙”,
里坊,空间规划文化,春秋,里坊制的确立期，相当于春秋至汉,里坊制的确立期，相当于春秋至汉；把全城分割为若干封闭的“里”作为居住区，商业与手工业则限制在一些定时开闭的“市”中,
斗拱,建筑结构文化,商周至明清,中国木构建筑的核心构件，由斗、拱、昂三部分组成,斗拱是中国木构建筑的灵魂，兼具结构与装饰功能。从唐代雄大简练到明清精致繁密，斗拱的演变折射出中国建筑技术的发展。斗拱层数与建筑等级严格对应，太和殿用九踩斗拱，民居禁用，清晰勾勒出社会等级秩序。斗拱的抗震消能机制体现了中国古人以柔克刚的哲学智慧，这一结构原理至今仍被现代建筑抗震设计借鉴。,
榫卯结构,建筑结构文化,河姆渡时期至明清,中国木构建筑的基本连接方式，不用钉子实现构件牢固结合,榫卯是中国木构建筑最根本的技术基因，河姆渡遗址已发现7000年前的榫卯构件。不用一钉一铆实现构件牢固结合，体现了以柔克刚、顺应自然的哲学思想。榫卯的柔性连接使建筑具有良好抗震性能，这种智慧至今影响着现代建筑连接技术的设计理念。,
抬梁式木构架,建筑结构文化,商周至明清,中国北方主要木构架形式，在柱子上放梁、梁上放短柱、短柱上放短梁,抬梁式是中国北方官式建筑的主流结构形式，从唐佛光寺到清故宫一脉相承。其优点是室内空间开阔，适合宫殿、庙宇等大型建筑。抬梁式的模数化设计体系以材分制为基础，实现了建筑设计的标准化和规范化，这一思想领先西方数百年。,
干栏式建筑,建筑结构文化,河姆渡时期至明清,底层架空的建筑形式，适应南方湿热气候，吊脚楼为其典型,干栏式建筑起源于南方湿热地区，河姆渡遗址已有7000年前的干栏式建筑遗迹。底层架空防潮防洪的设计智慧，至今仍在东南亚和中国南方少数民族地区传承。吊脚楼是干栏式建筑的典型代表，体现了人与自然和谐共处的建筑理念。,
屋顶等级制度,建筑礼制文化,周至清,庑殿顶、歇山顶、悬山顶、硬山顶、攒尖顶等级从高到低，体现封建等级制度,庑殿顶为最高等级，仅用于皇宫主殿和重要庙宇；歇山顶次之，用于宫殿次要建筑；悬山顶和硬山顶用于民居。屋顶等级制度是封建礼制在建筑上的物化体现，这种等级观念深刻影响了中国人的空间认知和审美取向，至今仍是中国建筑文化研究的重要内容。,
中轴对称布局,建筑规划文化,商周至明清,中国建筑群最基本的布局方式，主要建筑沿中轴线排列，次要建筑对称分布两侧,中轴对称是中国建筑群最基本的布局原则，从周代洛邑到明清北京城一脉相承。中轴线象征皇权至高无上，两侧对称体现秩序与和谐。这一布局理念不仅影响宫殿和官署，也深入民居和园林设计，成为中国建筑文化最显著的特征之一，北京城中轴线已列入世界文化遗产。,
前朝后寝制度,建筑礼制文化,商周至明清,宫殿和官署建筑的基本布局原则，前部为朝会理政空间，后部为居住生活空间,前朝后寝是中国宫殿建筑的基本布局原则，源于周代三朝制度。前部为朝会理政空间，体现公共性和仪式感；后部为居住生活空间，注重私密性和舒适性。这一制度深刻影响了中国人的空间观念，前堂后室的布局至今仍是中国住宅设计的基本模式。,
风水与建筑选址,建筑哲学文化,先秦至明清,风水学说影响建筑选址和布局，讲究背山面水、藏风聚气,风水学说是中国独特的建筑选址理论，讲究背山面水、藏风聚气。从都城选址到民居建造，风水理念贯穿中国建筑史。其合理内核——对地形、水文、风向等自然条件的科学考量，至今仍具有现实意义。风水文化已列入国家级非物质文化遗产名录。,
夯土技术,建筑技术文化,新石器时代至明清,中国最早的建筑技术之一，用于城墙、台基、墙体建造，万里长城即采用夯土技术,夯土是中国最古老的建筑技术之一，从新石器时代的城墙到明代长城，夯土技术延续数千年。福建土楼将夯土技术推向高峰，墙体底部厚达1.5米以上，历经数百年风雨和地震仍坚固如初。现代生土建筑研究正在重新发现夯土技术的生态价值。,
琉璃瓦工艺,建筑装饰文化,北魏至明清,琉璃瓦是中国古代建筑的重要装饰元素，色彩等级严格：黄色属皇家，绿色属王府,琉璃瓦工艺始于北魏，成熟于唐代，明清达到巅峰。黄色琉璃瓦为皇家专用，绿色用于王府，蓝色用于天坛，灰色用于民居，色彩严格体现等级制度。琉璃瓦的制作工艺已列入国家级非物质文化遗产，其耐候性和装饰性至今无可替代。,
彩画艺术,建筑装饰文化,春秋至明清,古建筑梁枋上的装饰绘画，和玺彩画属最高等级，旋子彩画次之，苏式彩画用于园林,古建筑彩画兼具装饰和保护木构件的功能。和玺彩画为最高等级，仅用于皇宫；旋子彩画次之，用于次要宫殿和庙宇；苏式彩画用于园林。彩画的图案和色彩蕴含丰富的文化寓意，如龙凤象征皇权、牡丹象征富贵。传统彩画工艺至今仍在古建筑修缮中传承。,
砖雕石雕木雕,建筑装饰文化,汉至明清,三雕艺术是中国古建筑装饰的重要形式，体现民间工艺水平和审美追求,三雕艺术是中国古建筑装饰的精华。徽派砖雕细腻精美，晋商大院石雕浑厚大气，江南木雕灵巧秀美。三雕题材涵盖历史故事、吉祥图案、花鸟鱼虫，是民间工艺和审美追求的集中体现。三雕工艺已列入各级非物质文化遗产名录，至今仍有匠人传承。,
藻井,建筑装饰文化,汉至明清,室内顶棚的独特装饰，由斗拱层层叠收形成穹窿状，象征天宇，等级极高,藻井是中国古建筑室内顶棚的最高等级装饰，由斗拱层层叠收形成穹窿状。其名称取镇压火灾之意，体现古人防火的心理寄托。藻井的复杂结构展现了木构技术的极致，北京天坛祈年殿藻井、故宫太和殿藻井为现存最高水平的代表。藻井设计理念对现代室内设计仍有启发。,
影壁（照壁）,建筑空间文化,西周至明清,立于大门内外的墙壁，具有挡风、避煞、装饰功能，体现中国建筑的空间层次观念,影壁是中国建筑空间组织的重要元素，具有挡风、避煞、装饰三重功能。大门内影壁避免直视院内，体现含蓄内敛的文化性格；大门外影壁形成空间过渡，营造序列感。故宫九龙壁、大同九龙壁为影壁艺术的巅峰之作，影壁文化至今仍在中国传统建筑中传承。,
牌坊,建筑礼制文化,周至清,古代旌表功勋、科第、德政及忠孝节义的建筑物，是封建礼教的物化象征,牌坊起源于周代的旌表门，是封建礼教的物化象征。功德牌坊表彰功勋，科举牌坊旌表科第，贞节牌坊宣扬节烈。牌坊的建筑形式从单间到多间、从单层到多层，体现了石构建筑技术的进步。牌坊文化虽带有封建色彩，但其建筑艺术价值和文化记忆功能至今仍被重视。,
建筑色彩文化,建筑礼制文化,周至清,红墙黄瓦属皇家专用，蓝瓦用于天坛等祭天建筑，灰瓦用于民居，色彩严格体现等级,中国古建筑的色彩运用严格遵循等级制度。红墙黄瓦为皇家专用，蓝瓦用于祭天建筑，灰瓦黑瓦为民间使用。色彩不仅是装饰，更是权力和等级的象征。这种色彩等级观念深刻影响了中国人的审美心理，红色至今仍是中国文化最具代表性的色彩符号。,
园林造景文化,园林建筑文化,商周至明清,中国园林虽由人作宛自天开的造园理念，借景、障景、框景等手法营造诗画意境,中国园林虽由人作宛自天开的造园理念，体现了天人合一的哲学思想。借景将园外景色纳入园内，障景遮挡不佳景观，框景如画框取景，这些手法创造诗画意境。苏州园林为园林造景文化的集大成者，已列入世界文化遗产，其设计理念对现代景观设计影响深远。,
窑洞民居文化,民居建筑文化,新石器时代至近现代,黄土高原独特的穴居文化，冬暖夏凉，节能环保，体现因地制宜的生存智慧,窑洞是黄土高原独特的民居形式，利用黄土层保温隔热特性，冬暖夏凉。靠崖式、下沉式、独立式三种类型适应不同地形。窑洞文化体现了因地制宜、与自然和谐共处的生存智慧，其节能环保理念对现代绿色建筑具有重要启示。,
土楼民居文化,民居建筑文化,宋至清,客家聚族而居的防御性民居，体现宗族凝聚力和因地制宜的建造智慧,福建土楼是客家先民聚族而居的防御性民居，圆形或方形布局利于抗震抗风。土楼将居住、防御、宗族活动功能集于一体，体现了宗族凝聚力和集体防卫意识。福建土楼已列入世界文化遗产，其独特的建筑形式和文化内涵受到世界关注。,
万里长城,建筑工程文化,春秋至明,世界最伟大的建筑工程之一，因地形用制险塞，绵延万里，体现古代军事防御工程智慧,万里长城是中国古代最伟大的建筑工程，因地形用制险塞的建造原则体现了卓越的军事工程智慧。夯土、砖石、木构等多种建造技术的综合运用，展现了古代建筑技术的全面成就。长城精神——坚韧不屈、自强不息，已成为中华民族精神的象征。,
大运河工程,建筑工程文化,春秋至元,世界最长人工运河，沟通南北水系，桥梁船闸技术先进，体现古代水利工程智慧,京杭大运河是世界最长的人工运河，沟通海河、黄河、淮河、长江、钱塘江五大水系。运河上的桥梁、船闸、码头等建筑设施体现了古代水利工程的高超技术。大运河已列入世界文化遗产，其工程智慧对现代水利建设仍有借鉴价值。,
建筑模数制度,建筑技术文化,唐至清,宋代以材为祖、清代以斗口为模数，建立标准化设计体系，早于西方模数制数百年,宋代营造法式以材为祖的材分制和清代工程做法则例以斗口为模数的制度，建立了世界上最早的建筑标准化设计体系。这种模数化思想使建筑设计与施工实现了规范化，比西方建筑模数制早数百年。模数制度的理念至今仍是建筑工业化的重要基础。,
