名称,建筑类型,朝代,建造年代,地理位置,建造者,自然科学成就,简介
密县县衙,官府,隋,1400年,河南省会郑州西南43公里处,,密县县衙位于河南省会郑州西南43公里处，四周冈阜逶迤、山亘如堂，古称中州之奥区，是历代帝王入主中原、兵家必争之地,密县县衙位于河南省会郑州西南43公里处，四周冈阜逶迤、山亘如堂，古称中州之奥区，是历代帝王入主中原、兵家必争之地。它历史悠久、文化灿烂，历经沧桑1400年，一直是方圆百里密县境域的政治、经济、文化之中心，古县衙所在地，原古名为法桥堡，隋代由密县县东大隗移此。坐座在原密县城之中心…
乾清宫,皇宫,明,1368年,,,乾清宫是内廷正殿，即民间所谓“后三宫（乾清宫、交泰殿、坤宁宫）中的第一座宫殿,乾清宫是内廷正殿，即民间所谓“后三宫（乾清宫、交泰殿、坤宁宫）中的第一座宫殿。乾清宫面阔9间，进深5间，高20米，重檐庑殿顶。殿的正中有宝座，两头有暖阁。乃明清十六个皇帝的寝宫： 明朝的十四个皇帝和清代的顺治、康熙两个皇帝，都以乾清宫为寝宫。他们在这里居住，也在平时处理日常政务…
坤宁宫,皇宫,明,1420年,交泰殿后面,,坤宁宫为中国古代宫殿建筑之精华,坤宁宫为中国古代宫殿建筑之精华。属于北京故宫内廷后三宫之一，位于交泰殿后面。坤宁宫宫名字出自《道德经》原文：昔之得一者，天得一以清，地得一以宁，神得一以灵，谷得一以盈，万物得一以生，侯王得一而以为天下贞。在古代皇后的地位跟皇帝相对，是天下女性中最尊贵的，皇帝是天，皇后就是地，皇…
建福宫,皇宫,清,1742年,内廷西路 西六宫 西侧,,建福宫位于北京故宫内廷西路，始建于清乾隆七年（1742年），嘉庆七年（1802年）重修,建福宫位于北京故宫内廷西路，始建于清乾隆七年（1742年），嘉庆七年（1802年）重修。建筑群呈南北狭长形制，东西宽约21米，南北长逾110米，以建福门、抚辰殿、建福宫、惠风亭和静怡轩构成四进庭院，其内部装修工艺为紫禁城代表作。初为乾隆守制所建，后成为皇帝游憩、书福及供奉神位场…
上驷院,官府,清,1677年,,,上驷院是清代内务府所属的三院之一（与武备院、奉宸苑合称“内三院”），掌管宫内所用之马,上驷院是清代内务府所属的三院之一（与武备院、奉宸苑合称“内三院”），掌管宫内所用之马。其衙门最初在东华门内三座门之西，后来改建在左翼门外。设监管事务大臣，无定员；卿二人（雍正六年定），正三品，其一由侍卫补授，其一由内务府司员补授。清初沿用明代之制，设御马监，顺治十八年(1661…
东六宫,皇宫,明,1420年,北京故宫中轴线东侧的东一长街,,建筑群均为二进院布局，黄琉璃瓦歇山或硬山顶，明清时期为嫔妃居所，现存建筑保留明代格局，部分宫苑存有乾隆御题匾额及彩画装饰,东六宫位于北京故宫中轴线东侧的东一长街，由景仁宫、承乾宫、钟粹宫、景阳宫、永和宫、延禧宫组成，始建于明永乐十八年（1420年）。建筑群均为二进院布局，黄琉璃瓦歇山或硬山顶，明清时期为嫔妃居所，现存建筑保留明代格局，部分宫苑存有乾隆御题匾额及彩画装饰。各宫在明清两代历经多次修缮：…
南京故宫,皇宫,元,1366年,今中山东路南北两侧,,南京故宫，又称明故宫、南京紫禁城，是明朝首都应天府（南京）的皇宫,南京故宫，又称明故宫、南京紫禁城，是明朝首都应天府（南京）的皇宫。建造前后历时二十余年，占地面积超过101.25万平方米，是中世纪世界上最大的宫殿建筑群，被称为“世界第一宫殿”。南京故宫作为中国古代都城宫殿建筑的集大成者，其建筑形制为北京故宫所继承，是北京故宫的蓝本。现部分遗址…
宫殿建筑,皇宫,唐,618年,,,"宫殿建筑是中国古代帝王行使皇权、处理政务、居住及满足精神与物质生活享受的大型建筑群，具有严格的中轴对称布局与""前朝后寝""功能分区，主体建筑多采用抬梁式木构架与黄琉璃瓦顶，整体呈现金玉交辉的装饰特征；现存北京故宫占地面积72万平方米，宫墙周长3400米，为现存规模最大的古代宫殿建筑群","宫殿建筑是中国古代帝王行使皇权、处理政务、居住及满足精神与物质生活享受的大型建筑群，具有严格的中轴对称布局与""前朝后寝""功能分区，主体建筑多采用抬梁式木构架与黄琉璃瓦顶，整体呈现金玉交辉的装饰特征。现存北京故宫占地面积72万平方米，宫墙周长3400米，为现存规模最大的古代宫殿建…"
明清皇宫,皇宫,明,1406年,,,故宫是世界上现存规模最大最完整的古代木结构建筑群，为我国现存最大最完整的古建筑群,故宫又称紫禁城，是中国明清两代的皇宫。故宫是世界上现存规模最大最完整的古代木结构建筑群，为我国现存最大最完整的古建筑群。它始建于明永乐四年（公元1406年），历时14年才完工，共有24位皇帝先后在此登基。
麟趾宫,皇宫,魏晋,286年,沈阳故宫 清宁宫 西侧,,麟趾宫位于沈阳故宫清宁宫西侧，建于清太宗天聪年间(1627—1635)，崇德元年(1636)定名麟趾，为清太宗皇太极贵妃娜木钟的寝宫，建筑形式为硬山殿顶五开间式,麟趾宫位于沈阳故宫清宁宫西侧，建于清太宗天聪年间(1627—1635)，崇德元年(1636)定名麟趾，为清太宗皇太极贵妃娜木钟的寝宫，建筑形式为硬山殿顶五开间式。该宫亦称西宫，其所在建筑群与清宁宫、关雎宫等共同构成沈阳故宫中路中轴线的“宫高殿低”格局。娜木钟为博尔济吉特氏，蒙古…
宁寿宫,皇宫,清,1689年,北京市东城区景山前街4号北京故宫内,,宁寿宫（The Palace of Tranquil Longevity），位于北京市东城区景山前街4号北京故宫内，始建于清康熙二十八年（1689年）作为皇太后和太皇太后的寝宫，清乾隆三十七年（1772年）宁寿宫开始改造为归政临朝受贺之所，清乾隆四十一年（1776年）改造完工,宁寿宫（The Palace of Tranquil Longevity），位于北京市东城区景山前街4号北京故宫内，始建于清康熙二十八年（1689年）作为皇太后和太皇太后的寝宫，清乾隆三十七年（1772年）宁寿宫开始改造为归政临朝受贺之所，清乾隆四十一年（1776年）改造完工。…
永定土楼,民居,清,1644年,福建省西南部,,永定土楼，即永定客家土楼，位于福建省西南部的龙岩市永定区，中国古建筑的一朵奇葩，永定土楼的设施布局既有苏州园林的印迹，也有古希腊建筑的特点，是中西合璧的建筑典范；永定土楼的结构还体现了客家人世代相传的团结友爱传统,永定土楼，即永定客家土楼，位于福建省西南部的龙岩市永定区，中国古建筑的一朵奇葩，永定土楼的设施布局既有苏州园林的印迹，也有古希腊建筑的特点，是中西合璧的建筑典范。在永定2200多平方公里的土地上，分布着2万多座土楼，其中有三层以上的大型建筑近5000座，圆楼360多座，其中清代…
南靖土楼,民居,宋,960年,,,南靖土楼是指遍布漳州市南靖、华安、平和、诏安、云霄、漳浦等县山区的土楼，以历史悠久、数量众多、规模宏大、造型奇异、风格独特而闻名于世，被誉为“神话般的山区建筑”；福建土楼是世界上独一无二的山区大型夯土民居建筑，依山就势，布局合理，吸收了中国传统建筑规划的“风水”理念，适应聚族而居的生活和防御要求，巧妙地利用了山间狭小的平地和当地的生土、木材、鹅卵石等建筑材料，是一种自成体系，具有节约、坚固、防御性强的特点，又极富美感的生土高层建筑模式,南靖土楼是指遍布漳州市南靖、华安、平和、诏安、云霄、漳浦等县山区的土楼，以历史悠久、数量众多、规模宏大、造型奇异、风格独特而闻名于世，被誉为“神话般的山区建筑”。福建土楼产生于宋朝时代，明、清朝时期逐渐成熟，并一直延续至今。福建土楼是世界上独一无二的山区大型夯土民居建筑，依山就…
华安土楼,民居,明,2024年,漳州市华安县 [6],,景区涵盖大地土楼群与上坪明代万历三楼群落，其中上坪明代万历三楼群落包含单元式布局的明代齐云楼，其石刻匾额记载建造时间可精确至年份，二宜楼外墙厚度达2.5米并设有隐通廊、传声洞等独特防卫结构；2023年起实施活化利用工程，启丰楼引入先锋书店并规划畲族非遗展示区，昇平楼纳入清华大学建筑研究项目,华安土楼是位于福建省漳州市华安县的国家4A级景区，现存68幢闽南传统民居建筑，其中以二宜楼为核心的大地土楼群于2008年被列入《世界文化遗产名录》。景区涵盖大地土楼群与上坪明代万历三楼群落，其中上坪明代万历三楼群落包含单元式布局的明代齐云楼，其石刻匾额记载建造时间可精确至年份，…
泉州土楼,民居,明,1368年,,,泉州的土楼建筑风格独特，大多结合了闽南古大厝的传统建筑手法，土楼也属于闽南传统建筑的重要组成部分，无论是土楼的彩绘、雕花、斗拱等，都饱含着闽南传统建筑的特色,泉州总共有土楼63座，分布在安溪、南安、永春、德化、洛江、石狮和泉港。这些土楼圆形、方形为主，明代的有4座，清代的有57座，民国的有2座。 其中泉州安溪土楼（西坪土楼，包括映宝楼、聚斯楼、南岩梅记泰山楼）为国家保护单位。泉州土楼不但有较高的文化、艺术价值，还是游子们的“精神家园…
湘子桥,桥梁,宋,960年,广东省潮州古城的东门外,,湘子桥奇特别致的结构，集梁桥、拱桥、浮桥等形式于一体，是凝结了古代劳动人民的智慧和艺术的结晶,湘子桥是古代汉族桥梁建筑的杰作。位于广东省潮州古城的东门外，初建于宋代，距今已有800余年的历史。湘子桥奇特别致的结构，集梁桥、拱桥、浮桥等形式于一体，是凝结了古代劳动人民的智慧和艺术的结晶。它是中国第一也是世界第一座启闭式桥梁，以其“十八梭船二十四洲”的独特风格与河北赵州桥、…
二十四桥,桥梁,清,1736年,扬州市邗江区大虹桥路28号瘦西湖风景区内,,二十四桥为单孔拱桥，跨于瘦西湖上；二十四桥桥梁立面呈穹隆形，俗称“单驼峰式”，桥面中部(拱顶上)是圆弧形，两端是阶梯式坡道，各有12级踏步，桥堍的平面呈梯形，俗称喇叭形,二十四桥（Twenty-Four Bridges），又称为廿四桥、念四桥是位于江苏省扬州市邗江区大虹桥路28号瘦西湖风景区内的桥梁。二十四桥为单孔拱桥，跨于瘦西湖上。清乾隆年间(1736-1795年)建。1986年，国家和地方拨款246万元，于1987年10月动工兴建。1990…
咸阳宫,皇宫,秦,前350年,今陕西省西安市西,,秦孝公十二年（前350年），秦国迁都咸阳，营建宫室，至迟到秦昭王时，咸阳宫已建成,咸阳宫是秦帝国的皇宫，位于今陕西省西安市西，咸阳市东区域。秦孝公十二年（前350年），秦国迁都咸阳，营建宫室，至迟到秦昭王时，咸阳宫已建成。最初咸阳宫位于秦都咸阳城的北部阶地上，在秦始皇统一六国过程中，不断进行扩建。据记载，该宫“因北陵营殿”，为秦始皇执政“听事”的所在。秦国统…
长信宫,皇宫,汉,前202年,西汉都城长安城内东南隅,,长信宫是汉代长乐宫建筑群中最重要的宫殿，位于西汉都城长安城内东南隅，汉景帝为其母窦太后设置，汉代太后常居于此,长信宫是汉代长乐宫建筑群中最重要的宫殿，位于西汉都城长安城内东南隅，汉景帝为其母窦太后设置，汉代太后常居于此。名称“长信”源于秋主信之意。自窦太后以降，西汉历代皇太后大都居住于此，后人也用其代指太皇太后。著名的长信宫灯即因曾放置于此而得名。
兴庆宫,皇宫,唐,755年,长安外郭东城春明门内,,兴庆宫是唐玄宗做藩王时期的府邸，唐玄宗登基后大规模扩建，成为长安城三大内之一,兴庆宫是唐长安城三大宫殿群（三大内：太极宫、大明宫、兴庆宫）之一，称为“南内”。位于长安外郭东城春明门内。唐代的兴庆宫范围，东至今仁厚庄与理工大西部，西至今兴庆西路，南至今咸宁西路中段，北至今东关长乐坊路南，今遗址开辟有兴庆宫公园。兴庆宫是唐玄宗做藩王时期的府邸，唐玄宗登基后大…
慈宁宫,皇宫,清,1536年,北京市东城区景山前街4号故宫博物院内,,慈宁宫（Cining Palace），位于北京市东城区景山前街4号北京故宫内，是北京故宫的原清代皇太后居住的正宫，始建于明嘉靖十五年（1536年）,慈宁宫（Cining Palace），位于北京市东城区景山前街4号北京故宫内，是北京故宫的原清代皇太后居住的正宫，始建于明嘉靖十五年（1536年） 。慈宁宫门前有一东西向狭长的广场，两端分别是永康左门、永康右门，南侧为长信门。慈宁门位于广场北侧，内有高台甬道与正殿慈宁宫相通。院…
中国四大古代官衙,官府,清,1304年,,,故宫为规模最大的明清皇家宫殿建筑群，直隶总督署是保存最完整的清代省级衙署，霍州署为现存唯一州级官署，内乡县衙则是国内唯一完整保留的县级官署；故宫博物院前身为明清皇宫，1925年正式建院，建筑群沿中轴线布局,中国四大古代官衙是中国现存四级古代官署建筑群的代表，包括中央级的北京故宫博物院、省级的保定直隶总督署、州级的霍州署及县级的内乡县衙，分别对应明清至近代中央至地方行政机构形制。故宫为规模最大的明清皇家宫殿建筑群，直隶总督署是保存最完整的清代省级衙署，霍州署为现存唯一州级官署，内乡…
建章宫,皇宫,西汉,前104年,陕西西安,汉武帝刘彻,西汉皇家宫殿，号称千门万户，采用一池三山园林布局，开创中国皇家园林规划先河,
大明宫,皇宫,唐,634年,陕西西安,唐太宗李世民,唐代最大宫殿群，面积约3.2平方千米，相当于明清故宫4.5倍；含元殿凹形宫阙形制开创宫殿建设典范，对东亚宫殿建筑产生深远影响,
紫禁城（故宫）,皇宫,明清,1420年,北京,蒯祥等,世界最大最完整的木质古建筑群，占地72万平方米；采用模数化设计，以斗口为基本模数；太和殿面阔11间，重檐庑殿顶，代表中国古代木构建筑最高水平,
南京明故宫,皇宫,明,1368年,江苏南京,明太祖朱元璋,明代第一座皇家宫殿，开创明清宫殿中轴对称布局先河，北京故宫以其为蓝本建造,
赵州桥,桥梁,隋,605年,河北赵县,李春,世界现存最古老的敞肩石拱桥，首创敞肩拱结构，比欧洲同类桥早700年；主拱跨度37.02米，拱高仅7.23米，大跨度低弧线设计；采用28道独立拱券并列砌筑，增强抗震性能,
卢沟桥,桥梁,金,1192年,北京丰台,金朝,北京现存最古老的联拱石桥，11孔联拱结构，各孔净跨径和矢高均不相等，边孔小中孔大，结构合理；桥栏石狮雕刻精美，形态各异,
江东桥,桥梁,南宋,1237年,福建漳州,李韶,世界最大最重构件石梁桥，单根石梁最长23.7米，最重200余吨，展现古代巨型石构件运输与安装技术,
北京四合院,民居,明清,元代始建,北京,民间工匠,合院式民居典范，采用中轴对称布局，南北朝向，庭院采光通风科学合理；抬梁式木构架体系，结构稳固抗震,
陕西窑洞,民居,远古至明清,前2000年,陕西、甘肃、山西,民间工匠,利用黄土层保温隔热特性建造，冬暖夏凉，节能环保；有靠崖式、下沉式和独立式三种类型，体现因地制宜建造智慧,
皖南徽派民居（宏村）,民居,明清,明代始建,安徽黄山,徽商,徽派民居典范，马头墙兼具防火防风功能；水系规划科学，牛形村落布局，人工水系贯穿全村，解决生活用水与消防需求,
湘西吊脚楼,民居,明清,明代始建,湖南湘西,苗族土家族先民,干栏式建筑代表，底层架空防潮防洪，上层居住；穿斗式木构架，灵活适应山地地形，体现南方湿热地区建筑智慧,
开平碉楼,民居,清,清代始建,广东开平,华侨,中西合璧防御性民居，融合中国传统夯土技术与西方建筑元素，多层塔楼式结构兼具防御与居住功能,
云南一颗印,民居,明清,明代始建,云南昆明,民间工匠,合院式民居，平面布局方正如印，适应云南高原气候；正房与厢房围合形成封闭院落，防风防晒,
晋中王家大院,民居,清,清代始建,山西灵石,王氏家族,清代民居集大成者，院落层层递进，空间序列严谨；砖雕木雕石雕三雕艺术精湛，体现晋商文化与建筑技艺,
南阳府衙,官府,元明清,1271年,河南南阳,元朝,中国保存最完整的府级官署建筑群，沿中轴线五进院落布局，体现古代官署建筑礼制规范,
淮安府署,官府,明清,1170年,江苏淮安,南宋始建,中国现存体量最大、保存最完整的明清府级官署建筑，占地超2万平方米，沿250米中轴线五进院落，融合南北建筑精髓,
绥远城将军衙署,官府,清,1737年,内蒙古呼和浩特,清代,清代一品封疆大吏官邸规格建造，为清代八旗驻防城主体建筑，体现清代军事衙署建筑特色,
保定直隶总督署,官府,清,1730年,河北保定,清代,中国保存最完整的清代省级衙署，严格中轴对称布局，体现清代官署建筑最高等级,
