名称,建筑类型,朝代,建造年代,地理位置,建造者,自然科学成就,简介,视频链接
阿房宫,皇宫,秦,前212年,陕西西安,秦始皇嬴政,秦代宫殿建筑技术巅峰，采用高台建筑形式，规模宏大；前殿东西500步、南北50丈，上可坐万人，体现秦代土木工程与夯土技术成就,秦代大型宫殿建筑的代表，以宏阔尺度和高台形制著称。,https://www.bilibili.com/video/BV1JW411A7e9?t=3.4
未央宫,皇宫,西汉,前200年,陕西西安,萧何,西汉大朝正宫，总面积约5平方千米，利用龙首原丘陵地势修建高台建筑，前殿夯土台基残高15米，体现汉代选址与夯土技术,西汉都城长安最重要的皇家宫殿群，奠定汉代宫殿格局。,https://www.bilibili.com/video/BV1PS4y1t7yB?t=5.3
长乐宫,皇宫,西汉,前202年,陕西西安,萧何,西汉主要宫殿之一，周长约10千米，采用前朝后寝布局，体现汉代宫殿规划思想,西汉早期核心宫殿之一，是研究汉代宫廷布局的重要遗址。,https://www.bilibili.com/video/BV1s6PDepEgq?t=12.9
建章宫,皇宫,西汉,前104年,陕西西安,汉武帝刘彻,西汉皇家宫殿，号称千门万户，采用一池三山园林布局，开创中国皇家园林规划先河,汉武帝时期扩建的大型皇家宫苑，体现宫殿与园林结合的特点。,https://www.bilibili.com/video/BV1X94y1W7S8?t=3.2
太极宫,皇宫,隋唐,582年,陕西西安,宇文恺,隋唐长安城主要宫殿，采用三朝制度布局，承天门凹形宫阙设计，影响后世宫殿形制,隋唐长安城中枢宫殿，对后世宫城制度影响深远。,https://www.bilibili.com/video/BV1F64y1B7h2?t=33.4
大明宫,皇宫,唐,634年,陕西西安,唐太宗李世民,唐代最大宫殿群，面积约3.2平方千米，相当于明清故宫4.5倍；含元殿凹形宫阙形制开创宫殿建设典范，对东亚宫殿建筑产生深远影响,唐代最具代表性的皇家宫殿群，体现盛唐宫殿营造水平。,https://www.bilibili.com/video/BV1jo4y1e7at?t=2.5
紫禁城（故宫）,皇宫,明清,1406年始建，1420年建成,北京,蒯祥等,世界最大最完整的木质古建筑群，占地72万平方米；采用模数化设计，以斗口为基本模数；太和殿面阔11间，重檐庑殿顶，代表中国古代木构建筑最高水平,明清两代皇宫，是中国现存最完整的古代宫殿建筑群。,https://www.bilibili.com/video/BV1Rh411R7xy?t=5.6
沈阳故宫,皇宫,后金至清,1625年始建，1636年后续建成,辽宁沈阳,努尔哈赤、皇太极,满蒙汉建筑风格融合典范，大政殿与十王亭的帐殿式布局体现满族八旗制度，融合汉式宫殿与满族特色,后金至清初皇家宫殿，是满汉建筑文化融合的重要实物。,https://www.bilibili.com/video/BV1Se4y1N7sr?t=3.1
南京明故宫,皇宫,明,1366年,江苏南京,明太祖朱元璋,明代第一座皇家宫殿，开创明清宫殿中轴对称布局先河，北京故宫以其为蓝本建造,明初皇宫遗址，北京故宫的制度与布局多承其影响。,https://www.bilibili.com/video/BV1BEzkBmEtu?t=10.3
赵州桥,桥梁,隋,605年,河北赵县,李春,世界现存最古老的敞肩石拱桥，首创敞肩拱结构，比欧洲同类桥早700年；主拱跨度37.02米，拱高仅7.23米，大跨度低弧线设计；采用28道独立拱券并列砌筑，增强抗震性能,中国古代石拱桥杰作，以敞肩拱技术闻名于世界桥梁史。,https://www.bilibili.com/video/BV1Ru4y1h7AG?t=2.8
洛阳桥,桥梁,宋,1059年,福建泉州,蔡襄,中国现存最早的跨海石桥，首创筏形基础技术、种蛎固础技术和浮运悬机架桥技术三大创新，解决了跨海建桥基础难题,宋代跨海梁式石桥代表，集中体现古代海桥建造智慧。,https://www.bilibili.com/video/BV1aJGMzREio?t=2.6
卢沟桥,桥梁,金,1192年,北京丰台,金朝,北京现存最古老的联拱石桥，11孔联拱结构，各孔净跨径和矢高均不相等，边孔小中孔大，结构合理；桥栏石狮雕刻精美，形态各异,华北地区著名古桥，以联拱结构和石狮雕刻著称。,https://www.bilibili.com/video/BV16x4y1k7Fz?t=3.6
广济桥,桥梁,宋,1228年,广东潮州,曾汪等,世界最早的启闭式桥梁，集梁桥、浮桥、拱桥于一体，十八梭船廿四洲的独特构造，中段浮桥可开可合，兼顾交通与通航,潮州古桥代表，以梁桥、拱桥、浮桥结合的形式闻名。,https://www.bilibili.com/video/BV1PR4y1j7XJ?t=48.9
宝带桥,桥梁,唐,819年,江苏苏州,王仲舒,中国现存最长多孔石桥，53孔联拱结构，首次采用柔性墩与刚性墩结合的薄型墩式，适应江南水网环境,江南多孔长桥的典型实例，展现唐代石桥营造水平。,https://www.bilibili.com/video/BV1vs7PzeEmN?t=8.7
安平桥,桥梁,南宋,1152年,福建晋江,黄护倡建,中世纪世界最长跨海梁式石桥，全长2255米，采用睡木沉基法奠基，桥身全用花岗岩砌筑，历经800余年两次8级地震仍稳固,中国古代超长石梁桥代表，是泉州海丝交通的重要遗存。,https://www.bilibili.com/video/BV15dovYrELP?t=8.6
灞桥,桥梁,春秋,前658年,陕西西安,秦穆公,中国历史上最早的多孔石拱桥之一，始建于春秋时期，隋唐时为全国11座大型桥梁之一,中国历史记忆中极具代表性的古桥，兼具交通与文化意象。,https://www.bilibili.com/video/BV1tf4y1N7eu?t=95.8
江东桥,桥梁,南宋,1237年,福建漳州,李韶,世界最大最重构件石梁桥，单根石梁最长23.7米，最重200余吨，展现古代巨型石构件运输与安装技术,大型石梁桥代表，以巨型石构件运输和架设技术见长。,https://www.bilibili.com/video/BV1TX9BY8EjL?t=7.7
泸定桥,桥梁,清,1706年,四川泸定,康熙帝,中国古代铁索桥代表，13根铁链横跨大渡河，铁链每根重约1.6吨，体现古代冶金和悬索桥梁技术,清代铁索桥典范，是西南山区交通工程的代表。,https://www.bilibili.com/video/BV14ecBzBEkL?t=4.9
北京四合院,民居,元明清,元代始建,北京,民间工匠,合院式民居典范，采用中轴对称布局，南北朝向，庭院采光通风科学合理；抬梁式木构架体系，结构稳固抗震,北方合院式民居代表，集中体现礼序与家族生活方式。,https://www.bilibili.com/video/BV1bN4y1k7ks?t=1.9
福建土楼,民居,明清,明代始建,福建龙岩、漳州,客家先民,大型夯土民居建筑，采用夯土墙与木构架结合，墙体底部厚达1.5米以上，兼具防御与居住功能；圆形或方形布局利于抗震抗风,客家大型聚族民居代表，兼具居住、防御和社区组织功能。,https://www.bilibili.com/video/BV1XM4y1x7JQ?t=43.9
陕西窑洞,民居,远古至明清,前2000年,陕西、甘肃、山西,民间工匠,利用黄土层保温隔热特性建造，冬暖夏凉，节能环保；有靠崖式、下沉式和独立式三种类型，体现因地制宜建造智慧,黄土高原传统民居代表，体现顺应地貌与气候的营造智慧。,https://www.bilibili.com/video/BV1cV411y7jc?t=129.3
皖南徽派民居（宏村）,民居,明清,明代始建,安徽黄山,徽商,徽派民居典范，马头墙兼具防火防风功能；水系规划科学，牛形村落布局，人工水系贯穿全村，解决生活用水与消防需求,徽派民居与村落水系规划结合的典型代表。,https://www.bilibili.com/video/BV1RV411B7AC?t=12.5
湘西吊脚楼,民居,明清,明代始建,湖南湘西,苗族土家族先民,干栏式建筑代表，底层架空防潮防洪，上层居住；穿斗式木构架，灵活适应山地地形，体现南方湿热地区建筑智慧,南方山地干栏式民居代表，适应潮湿与坡地环境。,https://www.bilibili.com/video/BV1u7vme8EFx?t=6.1
开平碉楼,民居,清,清代始建,广东开平,华侨,中西合璧防御性民居，融合中国传统夯土技术与西方建筑元素，多层塔楼式结构兼具防御与居住功能,近代华侨民居与防御建筑结合的代表，体现中西合璧特征。,https://www.bilibili.com/video/BV1fX4y1M7jd?t=1.6
云南一颗印,民居,明清,明代始建,云南昆明,民间工匠,合院式民居，平面布局方正如印，适应云南高原气候；正房与厢房围合形成封闭院落，防风防晒,云南高原合院民居代表，以方整紧凑布局著称。,https://www.bilibili.com/video/BV19S4y1j7QX?t=1.7
晋中王家大院,民居,清,清代始建,山西灵石,王氏家族,清代民居集大成者，院落层层递进，空间序列严谨；砖雕木雕石雕三雕艺术精湛，体现晋商文化与建筑技艺,晋商大宅代表，反映清代北方民居空间秩序与装饰艺术。,https://www.bilibili.com/video/BV1rp4y147KH?t=2.3
乔家大院,民居,清,1756年,山西祁县,乔氏家族,晋商民居代表，6个大院19个小院313间房屋；全封闭城堡式建筑群，体现清代商宅建筑规制与装饰艺术,清代晋商宅院代表，是研究商宅格局与家族制度的重要实例。,https://www.bilibili.com/video/BV14u411E76J?t=3.0
南阳府衙,官府,元明清,1271年,河南南阳,元朝,中国保存最完整的府级官署建筑群，沿中轴线五进院落布局，体现古代官署建筑礼制规范,保存较完整的古代府署建筑群，体现官署礼制空间。,https://www.bilibili.com/video/BV1u64y197YT?t=2.4
淮安府署,官府,宋元明清,1170年,江苏淮安,南宋始建,中国现存体量最大、保存最完整的明清府级官署建筑，占地超2万平方米，沿250米中轴线五进院落，融合南北建筑精髓,明清府级官署代表，规模宏大，保存较为系统。,https://www.bilibili.com/video/BV1E7S4B8EP3?t=2.1
内乡县衙,官府,元至清,1304年,河南内乡,元代始建,中国保存最完整的县级官署建筑群，被誉为天下第一衙；四合院式布局，严格遵循古代官署建筑等级制度,中国保存最完整的古代县衙之一，是研究基层官署的重要样本。,https://www.bilibili.com/video/BV18P4y1H7yz?t=2.3
浮梁县衙,官府,唐至清,唐代始建,江西浮梁,唐代始建,江南保存较好的古代县衙，五进院落布局，体现江南官署建筑特色,江南地区古代县衙代表，反映地方官署的延续与演变。,https://www.bilibili.com/video/BV1hPUTYPEZi?t=2.2
叶县县衙,官府,明,1368年,河南叶县,明代,中国现存唯一的明代县衙建筑，体现明代官署建筑规制,现存明代县衙代表，对研究明代官署制度价值突出。,https://www.bilibili.com/video/BV1wQ4y1K7Mb?t=1.9
临晋县衙,官府,元,1271年,山西临猗,元代,中国现存较早的元代官署建筑，对研究元代官署形制具有重要价值,元代官署建筑遗存的重要实例，具有较高史料价值。,https://www.bilibili.com/video/BV1ADsBzFECU?t=1.8
绥远城将军衙署,官府,清,1737年,内蒙古呼和浩特,清代,清代一品封疆大吏官邸规格建造，为清代八旗驻防城主体建筑，体现清代军事衙署建筑特色,清代边疆驻防将军衙署代表，体现军事与行政合一特征。,https://www.bilibili.com/video/BV15d4y1z7DL?t=1.6
保定直隶总督署,官府,清,1730年,河北保定,清代,中国保存最完整的清代省级衙署，严格中轴对称布局，体现清代官署建筑最高等级,清代省级衙署代表，是研究督抚制度的重要建筑遗存。,https://www.bilibili.com/video/BV1fy411h7Dh?t=1.5
霍州署,官府,元明清,1271年,山西霍州,元代始建,中国现存较完整的州级官署建筑，元明清三代建筑风格并存，对研究古代州署建筑演变具有重要价值,元明清连续沿用的州署建筑群，见证官署形制演变。,https://www.bilibili.com/video/BV1XK4y1479p?t=3.0
密县县衙,官府,隋唐至清,581年,河南新密,隋代始建,历史悠久的县级官署，隋唐至清代延续使用，体现古代县衙建筑形制演变,延续使用时间较长的县衙建筑，反映多时期官署发展脉络。,https://www.bilibili.com/video/BV1Ma411P7bm?t=6.1
