姓名,朝代,生卒年,籍贯,身份,主要贡献,科学家精神,简介,视频链接
鲁班,春秋,前507年—前444年,山东曲阜,工匠、发明家,发明卯榫结构，奠定中国木构建筑基础；发明曲尺、墨斗、锯子、刨子、钻子等木工工具，被后世尊为工匠祖师,勇于创新、精益求精的工匠精神；从实践中总结规律，发明创造造福民众,中国古代工匠文化的代表人物，长期被尊为土木营造与木作技艺的开创者。,https://www.bilibili.com/video/BV16Z4y1M7sM?t=3.4
宇文恺,隋,555年—612年,陕西西安,城市规划家、建筑工程师,主持规划修建隋大兴城（唐长安城），面积达84平方千米，是当时世界最大城市；主持规划东都洛阳城；设计观风行殿（可移动宫殿）；首创木模型和设计图审核制度,严谨求实的科学态度，动工前先做木模型和设计图审核；勇于创新，设计可移动宫殿,隋代都城规划与大型宫殿工程的关键人物，对后世长安、洛阳城市格局影响深远。,https://www.bilibili.com/video/BV1xa4y157Mg?t=0.8
李春,隋,生卒年不详（约6世纪末-7世纪初）,河北（推测）,桥梁工匠,设计建造赵州桥，首创敞肩拱结构，比欧洲早700年；大跨度低弧线设计，主拱跨度37.02米；28道独立拱券并列砌筑技术增强抗震性,勇于挑战技术难题，首创敞肩拱结构；注重实践验证，赵州桥历经1400余年仍屹立不倒,中国古代桥梁工艺代表人物，以赵州桥奠定早期石拱桥技术高峰。,https://www.bilibili.com/video/BV1BZXVBvE1v?t=1.0
阎立德,唐,?-656年,陕西西安,建筑家、工艺美术家,督造翠微宫、玉华宫；营建唐昭陵；主持修筑长安城外郭和城楼；将建筑设计与工艺美术相结合,博学多才，将建筑、绘画、工艺美术融会贯通；追求卓越，注重建筑的艺术性与实用性统一,唐代兼具建筑与工艺美术才能的重要营造人物，推动宫苑与陵寝建设。,https://www.bilibili.com/video/BV15nZhBpET5?t=2.3
喻皓,五代末北宋初,生卒年不详（约10世纪）,浙江杭州,建筑工匠、建筑理论家,擅长建造高层木塔，建造开封开宝寺塔和杭州梵天寺塔；顺应自然风力设计塔身微倾以抵抗风力；著《木经》，中国第一部建筑专著,刻苦钻研，从贫苦木匠成长为建筑大师；顺应自然的智慧，以风力修正塔身倾斜；著书立说传承技艺,早期木构建筑理论与实践并重的工匠代表，《木经》作者。,https://www.bilibili.com/video/BV11N4y1z7PB?t=0.4
李诫,宋,1035年—1110年,河南郑州,建筑学家,编修《营造法式》，中国古代最完善的土木建筑工程著作；全书34卷，系统记录13个工种制度；主持修建朱雀门、开封府廨、太庙等十余项重大工程,系统总结建筑知识，编修《营造法式》惠及后世；注重实践与理论结合，深入工匠中收集经验,宋代官式建筑制度的系统整理者，《营造法式》奠定后世营造规范基础。,https://www.bilibili.com/video/BV1gN411u7cV?t=0.6
刘秉忠,元,1216年—1274年,河北邢台,政治家、城市规划师,规划元大都，奠定北京城市雏形；设计独特、规划科学、布局合理，中轴对称布局影响至今,高瞻远瞩的规划视野，元大都规划影响至今；科学严谨的设计方法，中轴对称布局合理有序,元大都规划的核心人物之一，对北京城市格局的形成影响极大。,https://www.bilibili.com/video/BV1MnpqeeEYk?t=0.7
蒯祥,明,1397年—1481年,江苏苏州,建筑大师,参与设计建造天安门城楼；主持皇宫前三殿、长陵等重大皇室工程；被誉为国朝第一木匠，香山帮鼻祖；精通建筑图样设计，可徒手绘制精准图样,勤学苦练，12岁学艺16岁主持大型工程；技艺精湛，徒手绘制精准图样；传承发展香山帮建筑技艺,明代皇家建筑大师，北京宫殿与陵寝工程的重要设计营造者。,https://www.bilibili.com/video/BV1MY8czyEQq?t=1.2
徐杲,明,生卒年不详（约16世纪）,不详,木工大师、工部尚书,从贫苦木工做到二品工部尚书，在古代匠人中独一份；主持重建故宫三大殿，工期短质量高,凭借真才实学从底层匠人做到工部尚书；临危受命主持重建三大殿，工期短质量高,明代由木工成长为工部重臣的典型人物，以主持重建故宫三大殿著称。,https://www.bilibili.com/video/BV1hW4y1W7Gx?t=1.5
雷发达,清,1619年—1693年,江西建昌,皇家建筑师,清代样式雷家族创始人，被康熙赏识；参与故宫、颐和园等皇家建筑设计；发明烫样（建筑模型），比3D模型早数百年,精益求精的工匠精神，八代传承皇家建筑设计；创新发明烫样技术，直观展示设计效果,清代皇家建筑世家“样式雷”奠基人物，推动烫样与皇家工程营造传承。,https://www.bilibili.com/video/BV1y4411j7W1?t=1.1
郭安兴,北魏,生卒年不详（约6世纪）,不详,建筑师,建造北魏景明寺和永宁寺，以巨大体量和高度木结构建成，在中国乃至世界建筑史上都是奇迹,挑战建筑极限，建造超高层木结构建筑；追求建筑与技术的完美结合,北魏大型佛寺木塔营造的代表人物，体现早期高层木构技术能力。,https://www.bilibili.com/video/BV1pGSuY8EWv?t=0.3
萧何,西汉,?-前193年,江苏丰县,政治家、建筑规划者,主持建造未央宫和建章宫，提出非壮丽无以重威的建筑思想；未央宫周长14千米，体现汉代建筑规划思想,非壮丽无以重威的建筑理念，以建筑彰显国家威严；远见卓识，为后世留下宏伟建筑遗产,西汉初期宫城规划的重要主持者，对未央宫等宫殿布局影响深远。,https://www.bilibili.com/video/BV1Lc411f7o5?t=1.4
杨城延,西汉,生卒年不详（约前3世纪）,不详,建筑工程师,主持规划西汉长安城，负责未央宫和建章宫技术工作；开创汉代宫殿建筑技术体系,注重工程技术与艺术审美的统一；开创汉代宫殿建筑技术体系,西汉长安城与宫殿技术体系的重要参与者，体现早期都城营建水平。,https://www.bilibili.com/video/BV1xy411z7fP?t=0.8
蒙恬,秦,?-前210年,山东蒙阴,军事家、长城修筑者,主持修筑秦长城，因地形用制险塞，工程浩大技术合理；修筑直道，沟通南北交通,因地形用制险塞，因地制宜的工程智慧；坚韧不拔的意志，完成浩大工程,秦代大型军事工程组织者，长城与直道建设反映综合工程治理能力。,https://www.bilibili.com/video/BV128MBzREAA?t=0.7
张志纯,元,生卒年不详（约13世纪）,山东泰安,建筑师,新建和重建泰山上数十座道教建筑群；设计监修南天门，建筑风格充满道家元素，与环境相融合,建筑与环境和谐统一的设计理念；道家自然思想融入建筑设计,元代山岳建筑营造代表人物，善于处理建筑与自然环境关系。,https://www.bilibili.com/video/BV12su9zMEXV?t=0.5
蔡襄,宋,1012年—1067年,福建仙游,政治家、桥梁建造者,主持建造洛阳桥（万安桥），首创筏形基础、种蛎固础和浮运悬机架桥三大技术；亲撰万安桥记,勇于创新，首创三大桥梁技术；亲力亲为，亲撰桥记记录工程细节；为民造福的担当精神,宋代跨海桥梁建设的代表人物，洛阳桥工程体现制度与技术结合。,https://www.bilibili.com/video/BV1fK411S7fH?t=1.3
雷金玉,清,?-1691年,江苏南京,皇家建筑师,样式雷家族第二代传人，参与圆明园等皇家建筑设计制作烫样,传承与创新并重，发展烫样技术；家族八代坚守建筑事业,样式雷家族第二代传人，延续清代皇家建筑模型与设计传统。,https://www.bilibili.com/video/BV1Tt421n7bZ?t=1.2
姬旦（周公）,西周,?-约前1105年,陕西岐山,政治家、都城规划师,主持营造洛邑都城，体现卓越都城规划思想；任用弥牟为建造师，开创中国官方建筑师制度,高瞻远瞩的都城规划思想；礼制与建筑结合，开创中国官方建筑制度,西周礼制与都城规划思想的重要代表，对早期城市制度影响深远。,https://www.bilibili.com/video/BV1F8411R7qy?t=0.8
